image_filename,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
33.jpg,"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",BRAZIL,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,HAPPINESS
34.jpg,"""Tall Avatar-style sandstone pillars covered in mist, make you feel like in the movie""",CHINA,CLOUDY,AFTERNOON,SPRING,SIGHTSEEING,EXCITEMENT
35.jpg,"""lantern-lit city at night with warm colors""",VIETNAM,NOT CLEAR,EVENING,SPRING,WATER_ACTIVITIES,ROMANCE
36.jpg,"""Shibuya Crossing at night with neon light everywhere """,JAPAN,NOT CLEAR,EVENING,FALL,EXPLORATION,EXCITEMENT
38.jpg,"""Calm countryside atmposphere where sheeps grazing peacefully in the large grassy field in the foreground while the abbey centered in the middle """,FRANCE,CLOUDY,EVENING,FALL,SIGHTSEEING,ADVENTURE
39.jpg,"""a dramatic mountain landscape with a narrow trail running along the ridgeline during a sunrise""",PORTUGAL,SUNNY,MORNING,SPRING,HIKING,EXCITEMENT
40.jpg,""" valley with Staubbach waterfall, green fields, Swiss houses and mountains",,SUNNY,AFTERNOON,SUMMER,EXPLORATION,ROMANCE
41.jpg,"A clear aerial view of a Maldives island featuring a white sandy beach, turquoise water, palm trees, and a seaplane parked on the shore. This image represents the peaceful tropical beauty of the Maldives.",MALDIVES,SUNNY,AFTERNOON,SUMMER,RELAXATION,HAPPINESS
42.jpg,"A stunning sunset view of the Maiden’s Tower in Istanbul, illuminated warmly as the city skyline glows behind it. The vibrant sky blends orange and blue, creating a magical atmosphere over the Bosphorus.",TURKEY,NOT CLEAR,EVENING,FALL,SIGHTSEEING,ROMANCE
43.jpg,"Trekkers hiking through the rocky trails of the Everest region in the Himalayas, surrounded by dramatic mountain landscapes and clear blue skies. The snowy peaks create a breathtaking, adventurous atmosphere.",NEPAL,SUNNY,MORNING,FALL,HIKING,ADVENTURE
44.jpg,"A stunning alpine landscape in Switzerland with bright green hills, a peaceful lake, wooden cabins, and towering snow-covered peaks under a clear blue sky. A postcard-perfect mountain view.",SWITZERLAND,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,HAPPINESS
45.jpg,"A vibrant night scene in Kabukichō, Tokyo, filled with colorful neon lights, busy crosswalks, and lively crowds. The illuminated buildings highlight the energetic nightlife of Japan's capital.",JAPAN,NOT CLEAR,EVENING,NOT CLEAR,SIGHTSEEING,EXCITEMENT
46.jpg,"A peaceful desert highway in Texas leading toward rugged, sunlit mountains. The warm evening light casts dramatic shadows across the rocky landscape, capturing the quiet beauty of the American Southwest.",UNITED STATES,SUNNY,EVENING,FALL,NOT CLEAR,NOSTALGIA
47.jpg,A breathtaking sunset scene at the Pyramids of Giza featuring camel riders crossing the desert as the warm sun casts dramatic shadows. The silhouettes of the ancient pyramids create a timeless and adventurous atmosphere.,EGYPT,SUNNY,EVENING,NOT CLEAR,SIGHTSEEING,ADVENTURE
48.jpg,"A picturesque Parisian street leading to the Eiffel Tower at sunset, with warm light reflecting off historic buildings and cobblestone streets. The soft sky colors highlight the romantic charm of Paris.",FRANCE,SUNNY,EVENING,FALL,SIGHTSEEING,ROMANCE
49.jpg,"A golden sunset at Ipanema Beach in Rio de Janeiro, with surfboards in the sand and people enjoying the lively beachfront. The iconic Dois Irmãos mountains create a perfect blend of nature, surf culture, and Brazilian energy.",BRAZIL,SUNNY,EVENING,SUMMER,RELAXATION,HAPPINESS
50.jpg,A majestic view of the Great Wall of China winding across lush green mountains under a dramatic cloudy sky. The ancient stone towers and pathways highlight the vast scale and historical significance of this landmark.,CHINA,CLOUDY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
51.jpg,Eiffel Tower in Paris during sunset with colorful sky,FRANCE,SUNNY,EVENING,SUMMER,SIGHTSEEING,ROMANCE
52.jpg,White houses and blue domes in Santorini on a bright day,GREECE,SUNNY,AFTERNOON,SUMMER,RELAXATION,HAPPINESS
53.jpg,Shibuya crossing in Tokyo full of people and bright neon lights,JAPAN,NOT CLEAR,EVENING,NOT CLEAR,SHOPPING,EXCITEMENT
54.jpg,Turquoise water and overwater bungalows in the Maldives,MALDIVES,SUNNY,AFTERNOON,SUMMER,RELAXATION,ROMANCE
55.jpg,The ancient rock-carved facade of Petra between high cliffs,JORDAN,SUNNY,AFTERNOON,SUMMER,HIKING,CURIOSITY
56.jpg,Times Square in New York with colorful billboards and crowds,UNITED STATES,NOT CLEAR,EVENING,NOT CLEAR,SIGHTSEEING,EXCITEMENT
57.jpg,Snow-covered peaks of the Swiss Alps with a valley below,SWITZERLAND,SNOWY,AFTERNOON,WINTER,HIKING,ADVENTURE
58.jpg,Green rice terraces in Bali surrounded by tropical trees,INDONESIA,SUNNY,MORNING,SPRING,HIKING,HAPPINESS
59.jpg,The Great Pyramids of Giza under a clear blue sky,EGYPT,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,NOSTALGIA
60.jpg,Hot air balloons flying over the rocky valleys of Cappadocia,TURKEY,SUNNY,MORNING,SUMMER,NOT CLEAR,ADVENTURE
61.jpg,"A distant view of the Eiffel Tower with surrounding buildings. I chose this place because of its historic charm, iconic architecture, and relaxing atmosphere.",FRANCE,SUNNY,EVENING,SUMMER,SIGHTSEEING,HAPPINESS
62.jpg,A traditional Japanese house surrounded by colorful autumn trees. I chose this place because of its peaceful atmosphere and the beauty of Japanese architecture during the fall season.,JAPAN,SUNNY,AFTERNOON,FALL,SIGHTSEEING,CURIOSITY
63.jpg,"Fishing boats docked in a scenic harbor in Cape Town. I chose this place because its clear waters, vibrant harbor atmosphere, and sense of adventure make it an exciting travel destination.",SOUTH AFRICA,SUNNY,AFTERNOON,SUMMER,HIKING,ADVENTURE
64.jpg,"A young woman in traditional Peruvian clothes standing among purple spring flowers in Cusco. I chose this place because I’m curious to learn more about its rich history, culture, and beautiful traditional atmosphere.",PERU,SUNNY,MORNING,SPRING,SIGHTSEEING,CURIOSITY
65.jpg,A woman sitting on a log near a snow-covered body of water in Canada. I chose this place for its serene winter landscape and the peaceful feeling of being close to nature.,CANADA,SNOWY,MORNING,WINTER,HIKING,ADVENTURE
66.jpg,Stands of the Spotify Camp Nou Stadium in Barcelona. I chose this place because of my passion for football and the iconic atmosphere of the stadium.,SPAIN,SUNNY,AFTERNOON,SPRING,SIGHTSEEING,EXCITEMENT
67.jpg,A portrait of a kangaroo in an Australian animal park. I chose this place because I’m curious to explore Australia’s wildlife and natural environment.,AUSTRALIA,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
68.jpg,A massive iceberg floating in Greenland’s icy waters. I chose this place for its breathtaking natural beauty and the sense of adventure in exploring remote polar landscapes.,GREENLAND,SNOWY,MORNING,WINTER,SIGHTSEEING,ADVENTURE
69.jpg,A red hammock tied between two trees in the Maldives. I chose this place for its relaxing atmosphere and the peaceful feeling of enjoying a calm morning by the beach.,MALDIVES,SUNNY,MORNING,SUMMER,RELAXATION,HAPPINESS
70.jpg,A man riding a horse in traditional clothing in Tunisia. I chose this place for its rich cultural heritage and the charm of experiencing local traditions.,TUNISIA,CLOUDY,AFTERNOON,FALL,NOT CLEAR,CURIOSITY
71.jpg,"Alhambra Palace, A historic Moorish palace in Granada famous for its intricate carvings, gardens, and Islamic architectural beauty.",SPAIN,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
72.jpg,"Vatican City, St. Peter’s Basilica glowing beautifully over the river at sunset.",ITALY,NOT CLEAR,EVENING,SUMMER,SIGHTSEEING,EXCITEMENT
73.jpg,"Dome of the Rock, A golden-domed Islamic shrine in Jerusalem known for its striking architecture and sacred significance.",PALESTINE,NOT CLEAR,EVENING,SPRING,SIGHTSEEING,HAPPINESS
74.jpg,"Umayyad Mosque, A stunning view of the courtyard with golden mosaics and ancient architecture.",SYRIA,CLOUDY,MORNING,FALL,SIGHTSEEING,NOSTALGIA
75.jpg,"Giza Pyramids, Camels crossing the desert in front of the iconic Great Pyramid.",EGYPT,CLOUDY,AFTERNOON,SPRING,NOT CLEAR,ADVENTURE
76.jpg,"Santorini, White cliffside houses overlooking the blue sea with pink bougainvillea trees.",GREECE,SUNNY,MORNING,SPRING,RELAXATION,ROMANCE
77.jpg,"A traditional market in Fez, where colorful slippers and handmade crafts line the steps, showcasing the city’s rich heritage.",MOROCCO,SUNNY,AFTERNOON,SUMMER,SHOPPING,EXCITEMENT
78.jpg,"The Australian Alps, known for their high peaks and snowy landscapes, offer some of the country’s highest and most scenic mountain views.",AUSTRALIA,SNOWY,AFTERNOON,WINTER,HIKING,ADVENTURE
79.jpg,"Central London, known for its historic streets and iconic red double-decker buses, is one of the city’s most recognizable and vibrant areas.",UNITED KINGDOM,RAINY,AFTERNOON,WINTER,SIGHTSEEING,ROMANCE
80.jpg,"The famous Berlin Cathedral, illuminated beautifully at night, reflected on the waters of the Spree River amid a calm and charming atmosphere.",GERMANY,CLOUDY,EVENING,SUMMER,SIGHTSEEING,CURIOSITY
91.jpg,This photo shows the Eiffel Tower on a morning. I chose this place because it is very famous and I want to visit Paris.,FRANCE,SUNNY,MORNING,FALL,SIGHTSEEING,ROMANCE
92.jpg,This photo shows the Grand Canyon during sunrise with beautiful colors on the rocks. I chose this place because it looks amazing and I want to visit it one day,UNITED STATES,SUNNY,MORNING,SPRING,HIKING,ADVENTURE
93.jpg,"This photo shows the Swiss Alps with a snowy mountain, blue lakes, and green valleys. I chose this place because it looks peaceful and very beautiful.",SWITZERLAND,SUNNY,MORNING,SUMMER,HIKING,HAPPINESS
94.jpg,This photo shows the Statue of Liberty on a sunny day with a beautiful view of the city behind it. I chose this place because it is very famous and I want to visit New York one day.,UNITED STATES,SUNNY,AFTERNOON,FALL,SIGHTSEEING,CURIOSITY
95.jpg,This photo shows beautiful overwater villas in the Maldives during sunset. I chose this place because it looks peaceful and perfect for relaxing,MALDIVE,SUNNY,EVENING,SUMMER,RELAXATION,HAPPINESS
96.jpg,This photo shows Shibuya Crossing at night with many people and bright lights. I chose this place because it looks exciting and full of energy.,JAPAN,NOT CLEAR,EVENING,NOT CLEAR,WALKING,EXCITEMENT
97.jpg,"This photo shows Oia in Santorini during sunset, with white houses and a beautiful sea view. I chose this place because it looks peaceful and very famous.",GREECE,SUNNY,EVENING,SUMMER,WALKING,ROMANCE
98.jpg,"This photo shows the Dome of the Rock covered in snow, with people playing outside. I chose this place because it is important and very beautiful, especially in the snow.",PALESTINE,SNOWY,AFTERNOON,WINTER,SIGHTSEEING,HAPPINESS
99.jpg,This photo shows Tower Bridge in London at night with bright lights. I chose this place because it is a famous landmark and I want to visit London one day.,UNITED KINGDOM,NOT CLEAR,EVENING,NOT CLEAR,SIGHTSEEING,CURIOSITY
100.jpg,"This image shows Stonehenge covered in snow. I chose this place because it is very old and mysterious, and I would like to see it in real life.",UNITED KINGDOM,SNOWY,MORNING,WINTER,SIGHTSEEING,CURIOSITY
102.jpg,"Eiffel Tower in Paris at sunset, chosen because it's an iconic landmark and dream destination for many travelers.",FRANCE,SUNNY,EVENING,SUMMER,SIGHTSEEING,ROMANCE
103.jpg,"Amsterdam canals with bicycles and Dutch houses, chosen for its beautiful city architecture and peaceful waterways.",NETHERLANDS,SUNNY,AFTERNOON,SPRING,EXPLORATION,HAPPINESS
104.jpg,"Old Town Square in Prague at sunset, chosen for its magical medieval atmosphere and golden skyline.",CZECH REPUBLIC,SUNNY,EVENING,FALL,SIGHTSEEING,NOSTALGIA
105.jpg,"Alhambra in Granada, a historic Islamic palace chosen for its architecture and cultural importance.",SPAIN,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
106.jpg,"Lake Como overlooking the mountains, chosen for its peaceful water views and charming villages.",ITALY,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CALM
107.jpg,"Hallstatt village covered in snow, chosen for its fairy-tale beauty and winter charm.",AUSTRIA,SNOWY,MORNING,WINTER,EXPLORATION,NOSTALGIA
123.jpg,"""The Kaaba in Mecca, Saudi Arabia, the holiest site in Islam.""",SAUDI ARABIA,SUNNY,AFTERNOON,SUMMER,RELIGIOUS,HAPPINESS
124.jpg,"""The Dome of the Rock in Jerusalem, a historic Islamic shrine with a golden dome.""",PALESTINE,NOT CLEAR,EVENING,NOT CLEAR,RELIGIOUS,HAPPINESS
125.jpg,"""The blue-domed churches and white-washed buildings of Oia, Santorini, Greece, overlooking the sea.""",GREECE,CLOUDY,EVENING,SUMMER,RELAXATION,HAPPINESS
126.jpg,"A traditional Japanese Torii gate and temple structure illuminated at dusk, suggesting a quiet, spiritual place.",JAPAN,CLOUDY,EVENING,FALL,SIGHTSEEING,MELANCHOLY
127.jpg,"""The Eiffel Tower in Paris, France, an iconic landmark and symbol of French culture.""",FRANCE,SNOWY,EVENING,WINTER,SIGHTSEEING,ROMANCE
128.jpg,"The Taj Mahal in Agra, India, iconic white marble mausoleum and symbol of love.",INDIA,SUNNY,MORNING,SPRING,SIGHTSEEING,ADVENTURE
129.jpg,"The Elizabeth Tower (Big Ben) in London, a famous historical clock tower.",UNITED KINGDOM,SNOWY,EVENING,WINTER,RELAXATION,HAPPINESS
130.jpg,"""The Statue of Liberty in New York City, USA, a symbol of freedom and democracy.""",UNITED STATES,CLOUDY,EVENING,FALL,SIGHTSEEING,EXCITEMENT
131.jpg,Al-Aqsa Mosque a sacred and historical Islamic site,PALESTINE,RAINY,AFTERNOON,WINTER,SIGHTSEEING,NOSTALGIA
132.jpg,Colosseum in Rome an ancient Roman amphitheater showcasing historical architecture,ITALY,SUNNY,EVENING,SUMMER,SIGHTSEEING,CURIOSITY
133.jpg,Seoul cityscape vibrant city with modern architecture ,SOUTH KOREA,CLOUDY,EVENING,SPRING,RELAXATION,CURIOSITY
134.jpg,Eiffel Tower in Paris an iconic landmark in France.,FRANCE,SUNNY,AFTERNOON,FALL,SIGHTSEEING,HAPPINESS
135.jpg,Aurora Borealis in the Arctic Circle Northern Lights illuminating the night sky,ARCTIC CIRCLE,SNOWY,EVENING,WINTER,HIKING,EXCITEMENT
136.jpg,Beach in Sidi Bou Said Tunisia white sands and blue sea with scenic views,TUNISIA,SUNNY,AFTERNOON,SUMMER,RELAXATION,HAPPINESS
137.jpg,Santorini iconic white houses and blue domes on cliffs overlooking the sea,GREECE,SUNNY,AFTERNOON,SPRING,RELAXATION,HAPPINESS
138.jpg,Beach in Thailand with crystal clear water perfect for relaxation and leisure,THAILAND,SUNNY,MORNING,SUMMER,SIGHTSEEING,ADVENTURE
139.jpg,Bioluminescent beach in the Maldives glowing waters creating a magical night scene,MALDIVES,SUNNY,EVENING,SUMMER,SIGHTSEEING,EXCITEMENT
140.jpg,Cologne Cathedral in Germany  Gothic architecture with intricate details,GERMANY,SUNNY,MORNING,SUMMER,SIGHTSEEING,CURIOSITY
141.jpg,"A candid scene of daily life in Bali during heavy rainfall, showing a person on a motorcycle in front of a traditional building with decorated roofs. The rain in the image indicates that it's summer in Bali because it rains there during the summer. I chose Bali to experience its vibrant culture, tropical weather, and authentic local lifestyle.",INDONESIA,RAINY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
142.jpg,"A stunning view of Iceland's dramatic coastline: black sand beaches, powerful ocean waves crashing against the rocky cliffs, and the aurora borealis glowing in the sky. When you see the aurora like that, it's definitely Fall the best time to catch this phenomenon. I picked Iceland for its weird volcanic landscapes, the raw untouched nature that's unlike anywhere else, and of course, the magical aurora borealis.",ICELAND,CLOUDY,EVENING,FALL,RELAXATION,ADVENTURE
143.jpg,A stunning view of Istanbul's iconic Maiden's Tower (Kız Kulesi) standing in the brilliant blue waters of the Bosphorus strait under clear skies. I chose Istanbul to experience its unique blend of European and Asian cultures and explore its rich Ottoman heritage.,TURKEY,SUNNY,AFTERNOON,SPRING,SIGHTSEEING,CURIOSITY
144.jpg,"A stunning sunset view of Kyoto's traditional pagoda temple illuminated against a colorful sky, surrounded by historic Japanese architecture. I chose Kyoto to experience traditional Japanese culture, visit ancient temples, and witness the beauty of cherry blossoms.",JAPAN,CLOUDY,EVENING,FALL,SIGHTSEEING,ROMANCE
145.jpg,An aerial view of a luxurious Maldives resort with overwater bungalows extending into crystal-clear turquoise lagoons and pristine white sandy beaches. I chose the Maldives for its paradise-like tropical islands and perfect relaxation in stunning natural beauty.,MALDIVES,SUNNY,MORNING,SUMMER,RELAXATION,HAPPINESS
146.jpg,"The iconic Koutoubia Mosque minaret tower rising above traditional Moroccan gardens with palm trees and lush vegetation. I chose Marrakech to experience the vibrant souks, stunning Islamic architecture, and rich North African culture.",MOROCCO,CLOUDY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
147.jpg,"The iconic Eiffel Tower visible in the distance along the flooded Seine River during heavy rainfall in Paris. I chose Paris to experience the city of lights in all its moods, visit world-famous museums like the Louvre, and enjoy French art and cuisine.",FRANCE,RAINY,AFTERNOON,SPRING,SIGHTSEEING,MELANCHOLY
148.jpg,"The magnificent Treasury (Al-Khazneh) carved into rose-red sandstone cliffs in the ancient city of Petra, with traditional horse carriages in front. I chose Petra to explore this UNESCO World Heritage site and witness the incredible Nabataean architecture carved into rock over 2,000 years ago.",JORDAN,SUNNY,MORNING,SPRING,SIGHTSEEING,EXCITEMENT
149.jpg,"The iconic white-washed buildings and blue-domed churches of Santorini perched on dramatic cliffs overlooking the deep blue Aegean Sea. I chose Santorini for its breathtaking sunsets, stunning caldera views, and romantic Mediterranean atmosphere.",GREECE,CLOUDY,AFTERNOON,SUMMER,SIGHTSEEING,ROMANCE
150.jpg,"A stunning winter scene in the Swiss Alps with snow-covered mountains, frosted forests, and a traditional alpine chalet nestled in pristine white snow. I chose the Swiss Alps to experience breathtaking mountain landscapes, winter sports, and the magical beauty of snow-covered peaks.",SWITZERLAND,SNOWY,MORNING,WINTER,HIKING,ADVENTURE
151.jpg,"A view of the Court of the Lions in the Alhambra Palace in Granada, showing detailed Islamic arches and a marble fountain with lion statues.",SPAIN,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
152.jpg,"Old stone ruins from the Angkor temple area in Cambodia, with carved walls and tall temple buildings in bright sunlight.",CAMBODIA,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,ADVENTURE
153.jpg,"A wide view of the Colosseum in Rome during sunset, with warm golden light illuminating the ancient stone arches.",ITALY,SUNNY,EVENING,FALL,SIGHTSEEING,HAPPINESS
154.jpg,"A strong view of the Sk—gafoss waterfall in Iceland, with green cliffs around it and mist rising from the falling water.",ICELAND,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,ADVENTURE
155.jpg,"A panoramic view of the Old City of Jerusalem, featuring the Al-Aqsa Mosque, the golden Dome of the Rock, and the historic stone walls with the modern skyline in the background.",PALESTINE,SUNNY,AFTERNOON,SPRING,SIGHTSEEING,CURIOSITY
156.jpg,"A vibrant scene at the Izmir Clock Tower in Konak Square, with palm trees, pigeons, and people enjoying the sunny day around the historic landmark.",TURKEY,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,HAPPINESS
157.jpg,"A strong view of Antarcticaصs icy mountains rising above the cold ocean, with snowy peaks, glaciers, and pieces of ice floating on the water.",ANTARCTICA,CLOUDY,AFTERNOON,SUMMER,SIGHTSEEING,ADVENTURE
158.jpg,"Ulun Danu Beratan Temple in Bali, built on small islands on Lake Beratan, surrounded by calm water and green mountains.",INDONESIA,CLOUDY,AFTERNOON,NOT CLEAR,SIGHTSEEING,CALM
159.jpg,"A busy night scene in Times Square in New York City, with bright signs, yellow taxis, and many people walking on the lit-up streets.",UNITED STATES,NOT CLEAR,EVENING,NOT CLEAR,SIGHTSEEING,EXCITEMENT
160.jpg,"A clear daytime view of Big Ben and the Palace of Westminster in London, with people and cars crossing Westminster Bridge under a bright blue sky.",UNITED KINGDOM,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
161.jpg,The Treasury in Petra carved into the red sandstone cliffs. I chose this place because I love ancient history and dream of walking through the Siq to see this view in real life.,JORDAN,SUNNY,AFTERNOON,SPRING,SIGHTSEEING,ADVENTURE
162.jpg,Bright red torii gate and main shrine buildings at Fushimi Inari in Kyoto. I chose it because I love Japanese culture and want to walk through the endless torii gates.,JAPAN,SUNNY,AFTERNOON,SPRING,SIGHTSEEING,CURIOSITY
163.jpg,Brooklyn Bridge and the New York City skyline at sunset with snow along the riverbank. I chose it because I want to experience the energy of New York and see this view in real life.,UNITED STATES,SNOWY,EVENING,WINTER,SIGHTSEEING,EXCITEMENT
164.jpg,The Colosseum in Rome on a clear day with people walking around the ancient arena. I chose it because I love Roman history and want to imagine how it looked in the past.,ITALY,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,CURIOSITY
165.jpg,Autumn trees in Greenwich Park with golden and orange leaves and a soft sky in the background. I chose it because I love peaceful autumn walks and the warm colors of the park.,UNITED KINGDOM,CLOUDY,AFTERNOON,FALL,RELAXATION,NOSTALGIA
167.jpg,Green northern lights shining across the dark sky above snowy mountains and a still lake in Iceland. I chose it because seeing the aurora in person is one of my biggest travel dreams.,ICELAND,SNOWY,EVENING,WINTER,SIGHTSEEING,ADVENTURE
168.jpg,White houses and a busy harbor on a Greek island with clear turquoise water and small boats. I chose it because I dream of island-hopping in Greece and relaxing by the sea.,GREECE,SUNNY,AFTERNOON,SUMMER,RELAXATION,HAPPINESS
169.jpg,"Wet cobblestone street leading to Galata Tower in Istanbul, with people walking between old buildings on a rainy day. I chose it because I love the cozy feeling of exploring historic streets in the rain.",TURKEY,RAINY,AFTERNOON,FALL,WALKING,CURIOSITY
170.jpg,"A peaceful evening view of Mecca, capturing the spiritual atmosphere of the holy city. I chose this place because it represents faith, unity, and it gave me a lifetime pilgrimage experience visit.",SAUDI ARABIA,NOT CLEAR,EVENING,NOT CLEAR,RELIGIOUS,HAPPINESS
171.jpg,"This image shows the colorful coastline of Miami, a place I have already visited and really enjoyed. I chose it because of Miami’s beaches, vibrant atmosphere , and warm weather.",UNITED STATES,CLOUDY,EVENING,SUMMER,NOT CLEAR,EXCITEMENT
172.jpg,"This image captures the historic and spiritual beauty of Jerusalem. I included it in my list because I have visited the city, and experiencing its ancient landmarks left a deep impression on me.",UNITED STATES,SUNNY,EVENING,SUMMER,SIGHTSEEING,NOSTALGIA
173.jpg,The hot air balloons over Cappadocia are a sight I’ve always wanted to experience. The unique landscape and peaceful sunrise make it a dream destination,TURKEY,SUNNY,AFTERNOON,SPRING,NOT CLEAR,ADVENTURE
174.jpg,This image shows a bright spring morning in Paris with flowers blooming and the Eiffel Tower in view. I chose this place because I would love to visit Paris in the spring .,FRANCE,SUNNY,MORNING,SPRING,SIGHTSEEING,HAPPINESS
175.jpg,"This image shows a calm New York City morning, with buildings rising above the streets and the city slowly coming to life , I chose this destination because New York’s night view inspires me , the glowing skyscrapers, bright lights, and energy of the city at night always make me want to visit.",UNITED STATES,CLOUDY,MORNING,FALL,SIGHTSEEING,EXCITEMENT
176.jpg,"A peaceful small-boat tour gliding through the canals of Italy, surrounded by historic architecture and calm waters. I hope to visit this place one day to enjoy its cultural charm.",ITALY,SUNNY,MORNING,SUMMER,NOT CLEAR,ROMANCE
177.jpg,"A traditional souk in old Syria filled with narrow lanes, local shops, and historic architecture. I chose this place because I admire the cultural beauty and the feeling of walking through ancient markets.",SYRIA,NOT CLEAR,AFTERNOON,NOT CLEAR,SHOPPING,MELANCHOLY
178.jpg,"A breathtaking view of one of California’s iconic national parks, surrounded by towering cliffs, lush forests, and dramatic natural landscapes. I chose this destination because California’s parks like Yosemite, Sequoia, or Redwood are world famous for their beauty, and I dream of exploring the trails, wildlife, and peaceful nature they offer. It represents adventure and a deep appreciation for the outdoors.",UNITED STATES,CLOUDY,MORNING,FALL,HIKING,ADVENTURE
179.jpg,"The Basيlica de la Sagrada Famيlia in Barcelona, one of the world’s most famous architectural masterpieces. I chose this destination because its unique design and long history of construction make it a fascinating cultural icon.",SPAIN,CLOUDY,AFTERNOON,SPRING,SIGHTSEEING,CURIOSITY
190.jpg,"A beautiful panoramic view of the Eiffel Tower during sunset, with golden light reflecting on the Seine River. I chose this image because it perfectly captures the romantic and iconic atmosphere of Paris.",FRANCE,SUNNY,EVENING,SUMMER,SIGHTSEEING,ROMANCE
191.jpg,"A bright and colorful view of Santorini with its iconic white houses, blue domes, and vivid flowers overlooking the deep blue Aegean Sea. I chose this image because it captures the peaceful, sunny, and dream-like beauty of the island.",GREECE,SUNNY,AFTERNOON,SUMMER,SIGHTSEEING,HAPPINESS
193.jpg,"A breathtaking sunset view of Tokyo with the Tokyo Skytree rising above the city. I chose this image because it captures Tokyo’s blend of modern architecture, warm colors, and endless urban life.",JAPAN,SUNNY,EVENING,FALL,SIGHTSEEING,CURIOSITY
194.jpg,"A beautiful view of Venice’s Grand Canal with boats gliding through turquoise water and the stunning Santa Maria della Salute basilica in the background. I chose this image because it captures Venice’s peaceful, historic, and charming atmosphere.",ITALY,SUNNY,AFTERNOON,SPRING,SIGHTSEEING,ROMANCE
